Year(s) of Live Birth,Maternal Window,Data Source,Risk Factor Type,Risk Factor,Risk Factor Strata,Live Births (N),Live Births (%),Any Sepsis Incidence (N),"Any Sepsis Incidence per 100,000 Live Births",Any Sepsis Crude Odds Ratio (95% CI),Any Sepsis p-value,Severe Sepsis Incidence (N),"Severe Sepsis Incidence per 100,000 Live Births",Severe Sepsis Crude Odds Ratio (95% CI),Severe Sepsis p-value
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Drug abuse,No,624877,97.63,491,78.58,ref,,119,19.04,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Drug abuse,Yes,15146,2.37,46,303.71,3.87 (2.86-5.24),<.0001,6,39.61,2.08 (0.92-4.73),0.0794
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Gestational diabetes mellitus,No,583395,91.15,484,82.96,ref,,116,19.88,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Gestational diabetes mellitus,Yes,56628,8.85,53,93.59,1.13 (0.85-1.50),0.4044,9,15.89,0.80 (0.41-1.58),0.5177
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Gestational hypertension,No,598835,93.56,504,84.16,ref,,118,19.7,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Gestational hypertension,Yes,41188,6.44,33,80.12,0.95 (0.67-1.36),0.7884,7,17,0.86 (0.40-1.85),0.7038
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Human immunodeficiency virus,No,638741,99.8,532,83.29,ref,,123,19.26,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Human immunodeficiency virus,Yes,1282,0.2,5,390.02,4.70 (1.94-11.35),0.0006,2,156.01,8.11 (2.00-32.84),0.0033
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Mild preeclampsia or unspecified preeclampsia,No,635059,99.22,528,83.14,ref,,123,19.37,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Mild preeclampsia or unspecified preeclampsia,Yes,4964,0.78,9,181.31,2.19 (1.13-4.23),0.0199,2,40.29,2.08 (0.52-8.42),0.3030
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Multiple gestation,No,627420,98.03,526,83.84,ref,,119,18.97,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Multiple gestation,Yes,12603,1.97,11,87.28,1.04 (0.57-1.89),0.8927,6,47.61,2.51 (1.11-5.70),0.0278
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Obesity,No,549734,85.89,437,79.49,ref,,112,20.37,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Obesity,Yes,90289,14.11,100,110.76,1.39 (1.12-1.73),0.0028,13,14.4,0.71 (0.40-1.26),0.2371
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Placenta previa,No,628606,98.22,526,83.68,ref,,125,19.89,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Placenta previa,Yes,11417,1.78,11,96.35,1.15 (0.63-2.09),0.6432,0,0,<0.001 (<0.001->999.99),0.9767
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Preexisting diabetes mellitus,No,628047,98.13,517,82.32,ref,,120,19.11,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Preexisting diabetes mellitus,Yes,11976,1.87,20,167,2.03 (1.30-3.18),0.0019,5,41.75,2.19 (0.89-5.35),0.0868
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Preexisting hypertension,No,619153,96.74,509,82.21,ref,,121,19.54,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Preexisting hypertension,Yes,20870,3.26,28,134.16,1.63 (1.12-2.39),0.0116,4,19.17,0.98 (0.36-2.66),0.9697
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Previous cesarean delivery,No,524393,81.93,436,83.14,ref,,104,19.83,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Previous cesarean delivery,Yes,115630,18.07,101,87.35,1.05 (0.85-1.30),0.6550,21,18.16,0.92 (0.57-1.46),0.7129
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Pulmonary hypertension,No,639759,99.96,529,82.69,ref,,122,19.07,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Pulmonary hypertension,Yes,264,0.04,8,3030.3,37.81 (18.62-76.78),<.0001,3,1136.36,60.26 (19.05-190.7),<.0001
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Severe preeclampsia/eclampsia,No,626108,97.83,515,82.25,ref,,116,18.53,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Severe preeclampsia/eclampsia,Yes,13915,2.17,22,158.1,1.92 (1.26-2.95),0.0027,9,64.68,3.49 (1.77-6.88),0.0003
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Sickle cell disease,No,629075,98.29,507,80.59,ref,,117,18.6,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Sickle cell disease,Yes,10948,1.71,30,274.02,3.41 (2.36-4.93),<.0001,8,73.07,3.93 (1.92-8.05),0.0002
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Systemic lupus erythematosus,No,638710,99.79,534,83.61,ref,,125,19.57,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Systemic lupus erythematosus,Yes,1313,0.21,3,228.48,2.74 (0.88-8.52),0.0823,0,0,<0.001 (<0.001->999.99),0.9728
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Tobacco use,No,608267,95.04,466,76.61,ref,,116,19.07,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Tobacco use,Yes,31756,4.96,71,223.58,2.92 (2.28-3.75),<.0001,9,28.34,1.49 (0.75-2.93),0.2522
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Blood loss anaemia,No,562221,87.84,296,52.65,ref,,53,9.43,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Blood loss anaemia,Yes,77802,12.16,241,309.76,5.90 (4.98-6.99),<.0001,72,92.54,9.83 (6.89-14.01),<.0001
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Cardiac arrhythmias,No,639808,99.97,535,83.62,ref,,124,19.38,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Cardiac arrhythmias,Yes,215,0.03,2,930.23,11.26 (2.80-45.32),0.0007,1,465.12,24.11 (3.35-173.3),0.0016
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Chronic pulmonary disease,No,595609,93.06,443,74.38,ref,,100,16.79,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Chronic pulmonary disease,Yes,44414,6.94,94,211.64,2.85 (2.28-3.56),<.0001,25,56.29,3.36 (2.16-5.20),<.0001
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Coagulopathy,No,616593,96.34,487,78.98,ref,,107,17.35,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Coagulopathy,Yes,23430,3.66,50,213.4,2.71 (2.02-3.62),<.0001,18,76.82,4.43 (2.69-7.30),<.0001
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Deficiency anaemia,No,590839,92.32,358,60.59,ref,,69,11.68,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Deficiency anaemia,Yes,49184,7.68,179,363.94,6.02 (5.03-7.21),<.0001,56,113.86,9.76 (6.86-13.89),<.0001
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Depression,No,617932,96.55,483,78.16,ref,,113,18.29,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Depression,Yes,22091,3.45,54,244.44,3.13 (2.36-4.15),<.0001,12,54.32,2.97 (1.64-5.39),0.0003
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Fluid and electrolyte disorders,No,628753,98.24,323,51.37,ref,,62,9.86,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Fluid and electrolyte disorders,Yes,11270,1.76,214,1898.85,37.66 (31.65-44.81),<.0001,63,559.01,57.00 (40.12-80.97),<.0001
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Hypothyroidism,No,608261,95.04,512,84.17,ref,,119,19.56,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Hypothyroidism,Yes,31762,4.96,25,78.71,0.94 (0.63-1.40),0.7431,6,18.89,0.97 (0.43-2.19),0.9343
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Liver disease,No,635507,99.29,529,83.24,ref,,121,19.04,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Liver disease,Yes,4516,0.71,8,177.15,2.13 (1.06-4.29),0.0334,4,88.57,4.66 (1.72-12.62),0.0024
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Lymphoma,No,639845,99.97,537,83.93,ref,,125,19.54,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Lymphoma,Yes,178,0.03,0,0,<0.001 (<0.001->999.99),0.9692,0,0,<0.001 (<0.001->999.99),0.9782
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Metastatic cancer,No,639946,99.99,536,83.76,ref,,125,19.53,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Metastatic cancer,Yes,77,0.01,1,1298.7,15.75 (2.19-113.1),0.0061,0,0,<0.001 (<0.001->999.99),0.9857
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Other neurological disorders,No,626275,97.85,499,79.68,ref,,120,19.16,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Other neurological disorders,Yes,13748,2.15,38,276.4,3.48 (2.50-4.84),<.0001,5,36.37,1.90 (0.78-4.65),0.1600
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Paralysis,No,639682,99.95,533,83.32,ref,,124,19.38,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Paralysis,Yes,341,0.05,4,1173.02,14.23 (5.29-38.28),<.0001,1,293.26,15.17 (2.11-108.9),0.0068
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,"Peptic ulcer disease, excluding bleeding",No,639782,99.96,537,83.93,ref,,125,19.54,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,"Peptic ulcer disease, excluding bleeding",Yes,241,0.04,0,0,<0.001 (<0.001->999.99),0.9641,0,0,<0.001 (<0.001->999.99),0.9827
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Peripheral vascular disorders,No,639750,99.96,532,83.16,ref,,124,19.38,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Peripheral vascular disorders,Yes,273,0.04,5,1831.5,22.46 (9.24-54.58),<.0001,1,366.3,18.97 (2.64-136.2),0.0034
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Psychoses,No,632618,98.84,518,81.88,ref,,123,19.44,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Psychoses,Yes,7405,1.16,19,256.58,3.14 (1.99-4.97),<.0001,2,27.01,1.39 (0.34-5.62),0.6427
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Pulmonary circulation disorders,No,639721,99.95,532,83.16,ref,,124,19.38,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Pulmonary circulation disorders,Yes,302,0.05,5,1655.63,20.23 (8.32-49.16),<.0001,1,331.13,17.16 (2.39-123.0),0.0047
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Renal failure,No,639490,99.92,534,83.5,ref,,125,19.55,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Renal failure,Yes,533,0.08,3,562.85,6.78 (2.17-21.14),0.0010,0,0,<0.001 (<0.001->999.99),0.9827
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Rheumatoid arthritis/collagen vascular diseases,No,636997,99.53,531,83.36,ref,,124,19.47,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Rheumatoid arthritis/collagen vascular diseases,Yes,3026,0.47,6,198.28,2.38 (1.06-5.33),0.0347,1,33.05,1.70 (0.24-12.15),0.5980
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Solid tumour without metastasis,No,639335,99.89,535,83.68,ref,,124,19.4,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Solid tumour without metastasis,Yes,688,0.11,2,290.7,3.48 (0.87-13.98),0.0787,1,145.35,7.53 (1.05-53.77),0.0442
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Valvular disease,No,637661,99.63,526,82.49,ref,,124,19.45,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Valvular disease,Yes,2362,0.37,11,465.71,5.67 (3.11-10.31),<.0001,1,42.34,2.18 (0.31-15.59),0.4365
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Weight loss,No,639184,99.87,526,82.29,ref,,121,18.93,ref,
2016-2018,Pregnancy,SPARCS,Elixhauser Comorbidities,Weight loss,Yes,839,0.13,11,1311.08,16.13 (8.84-29.42),<.0001,4,476.76,25.30 (9.32-68.66),<.0001
2016-2018,Pregnancy,Birth certificate,Other Comorbidities,Alcohol Use,No,612201,98.88,512,83.63,ref,,122,19.93,ref,
2016-2018,Pregnancy,Birth certificate,Other Comorbidities,Alcohol Use,Yes,5455,0.88,6,109.99,1.32 (0.59-2.94),0.5045,0,0,<0.001 (<0.001->999.99),0.9754
2016-2018,Pregnancy,Birth certificate,Other Comorbidities,Alcohol Use,Unknown,1486,0.24,2,134.59,1.61 (0.40-6.46),0.5017,0,0,<0.001 (<0.001->999.99),0.9871
2016-2018,Pregnancy,SPARCS,Other Comorbidities,Group B Strep Carrier,No,512247,80.04,421,82.19,ref,,100,19.52,ref,
2016-2018,Pregnancy,SPARCS,Other Comorbidities,Group B Strep Carrier,Yes,127776,19.96,116,90.78,1.10 (0.90-1.36),0.3425,25,19.57,1.00 (0.65-1.55),0.9920
2016-2018,Pregnancy,SPARCS,Other Comorbidities,History of Sepsis (w/in 1yr prior to start of pregnancy),No,639436,99.91,530,82.89,ref,,123,19.24,ref,
2016-2018,Pregnancy,SPARCS,Other Comorbidities,History of Sepsis (w/in 1yr prior to start of pregnancy),Yes,587,0.09,7,1192.5,14.55 (6.87-30.80),<.0001,2,340.72,17.78 (4.39-72.04),<.0001
2016-2018,Pregnancy,Birth certificate,Other Comorbidities,Illegal Drug Use,No,603418,97.46,491,81.37,ref,,119,19.72,ref,
2016-2018,Pregnancy,Birth certificate,Other Comorbidities,Illegal Drug Use,Yes,14992,2.42,29,193.44,2.38 (1.64-3.46),<.0001,3,20.01,1.01 (0.32-3.19),0.9801
2016-2018,Pregnancy,Birth certificate,Other Comorbidities,Illegal Drug Use,Unknown,732,0.12,0,0,<0.001 (<0.001->999.99),0.9580,0,0,<0.001 (<0.001->999.99),0.9796
2016-2018,Pregnancy,SPARCS,Other Comorbidities,Organ Transplant,No,639858,99.97,537,83.92,ref,,125,19.54,ref,
2016-2018,Pregnancy,SPARCS,Other Comorbidities,Organ Transplant,Yes,165,0.03,0,0,<0.001 (<0.001->999.99),0.9703,0,0,<0.001 (<0.001->999.99),0.9790
2016-2018,Pregnancy,SPARCS,Other Comorbidities,Other Immunosupression,No,639334,99.89,535,83.68,ref,,124,19.4,ref,
2016-2018,Pregnancy,SPARCS,Other Comorbidities,Other Immunosupression,Yes,689,0.11,2,290.28,3.48 (0.87-13.96),0.0791,1,145.14,7.52 (1.05-53.69),0.0444
2016-2018,Pregnancy,Birth certificate,Other Comorbidities,Tobacco Use,No,576262,93.07,466,80.87,ref,,113,19.61,ref,
2016-2018,Pregnancy,Birth certificate,Other Comorbidities,Tobacco Use,Yes,42128,6.8,52,123.43,1.53 (1.15-2.03),0.0038,9,21.36,1.09 (0.55-2.15),0.8046
2016-2018,Pregnancy,Birth certificate,Other Comorbidities,Tobacco Use,Unknown,752,0.12,2,265.96,3.30 (0.82-13.25),0.0921,0,0,<0.001 (<0.001->999.99),0.9793
2016-2018,Pregnancy,SPARCS,Demographics,Age Group,<20,35999,5.62,85,236.12,2.93 (2.32-3.71),<.0001,35,97.22,6.09 (4.09-9.08),<.0001
2016-2018,Pregnancy,SPARCS,Demographics,Age Group,20-35,488179,76.28,394,80.71,ref,,78,15.98,ref,
2016-2018,Pregnancy,SPARCS,Demographics,Age Group,>35,115845,18.1,58,50.07,0.62 (0.47-0.82),0.0007,12,10.36,0.65 (0.35-1.19),0.1622
2016-2018,Pregnancy,Birth certificate,Demographics,Education,Less than high school,93199,14.56,142,152.36,3.59 (2.78-4.64),<.0001,40,42.92,4.00 (2.43-6.60),<.0001
2016-2018,Pregnancy,Birth certificate,Demographics,Education,High school graduate or GED,141421,22.1,155,109.6,2.58 (2.01-3.32),<.0001,35,24.75,2.31 (1.38-3.85),0.0014
2016-2018,Pregnancy,Birth certificate,Demographics,Education,Some College,99452,15.54,83,83.46,1.96 (1.47-2.63),<.0001,14,14.08,1.31 (0.68-2.52),0.4158
2016-2018,Pregnancy,Birth certificate,Demographics,Education,AA Degree,49715,7.77,38,76.44,1.80 (1.24-2.62),0.0021,8,16.09,1.50 (0.68-3.33),0.3183
2016-2018,Pregnancy,Birth certificate,Demographics,Education,BA degree or higher,233015,36.41,99,42.49,ref,,25,10.73,ref,
2016-2018,Pregnancy,Birth certificate,Demographics,Education,Unknown,2340,0.37,3,128.21,3.02 (0.96-9.53),0.0595,0,0,<0.001 (<0.001->999.99),0.9770
2016-2018,Pregnancy,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"White, Non-Hispanic",312583,48.84,195,62.38,ref,,39,12.48,ref,
2016-2018,Pregnancy,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Black, Non-Hispanic",96078,15.01,95,98.88,1.59 (1.24-2.03),0.0002,20,20.82,1.67 (0.97-2.86),0.0627
2016-2018,Pregnancy,SPARCS & Birth certificate,Demographics,Race/Ethnicity,Hispanic,142099,22.2,198,139.34,2.24 (1.83-2.72),<.0001,58,40.82,3.27 (2.18-4.91),<.0001
2016-2018,Pregnancy,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Native American/Alaska Native, Non-Hispanic",1733,0.27,2,115.41,1.85 (0.46-7.46),0.3866,0,0,<0.001 (<0.001->999.99),0.9867
2016-2018,Pregnancy,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Asian/Pacific Islander, Non-Hispanic",76157,11.9,35,45.96,0.74 (0.51-1.06),0.0959,7,9.19,0.74 (0.33-1.65),0.4566
2016-2018,Pregnancy,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Other, Non-Hispanic",7870,1.23,10,127.06,2.04 (1.08-3.85),0.0282,1,12.71,1.02 (0.14-7.41),0.9856
2016-2018,Pregnancy,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Multi-Racial, Non-Hispanic",3503,0.55,2,57.09,0.92 (0.23-3.69),0.9008,0,0,<0.001 (<0.001->999.99),0.9811
2016-2018,Pregnancy,SPARCS,Demographics,Region of Residence,Central,28689,4.48,38,132.45,1.79 (1.27-2.52),0.0009,7,24.4,1.13 (0.52-2.47),0.7508
2016-2018,Pregnancy,SPARCS,Demographics,Region of Residence,Finger Lakes,26976,4.21,21,77.85,1.05 (0.67-1.64),0.8310,3,11.12,0.52 (0.16-1.64),0.2637
2016-2018,Pregnancy,SPARCS,Demographics,Region of Residence,Long Island,89369,13.96,86,96.23,1.30 (1.01-1.66),0.0390,24,26.85,1.25 (0.78-1.99),0.3506
2016-2018,Pregnancy,SPARCS,Demographics,Region of Residence,Mid-Hudson,25890,4.05,30,115.87,1.56 (1.07-2.29),0.0214,2,7.72,0.36 (0.09-1.47),0.1536
2016-2018,Pregnancy,SPARCS,Demographics,Region of Residence,New York City,311517,48.67,231,74.15,ref,,67,21.51,ref,
2016-2018,Pregnancy,SPARCS,Demographics,Region of Residence,Northeast,29916,4.67,20,66.85,0.90 (0.57-1.42),0.6565,3,10.03,0.47 (0.15-1.48),0.1960
2016-2018,Pregnancy,SPARCS,Demographics,Region of Residence,Northern Metro,40880,6.39,35,85.62,1.15 (0.81-1.65),0.4279,6,14.68,0.68 (0.30-1.57),0.3698
2016-2018,Pregnancy,SPARCS,Demographics,Region of Residence,Utica-Adirondack,25309,3.95,13,51.37,0.69 (0.40-1.21),0.1975,5,19.76,0.92 (0.37-2.28),0.8546
2016-2018,Pregnancy,SPARCS,Demographics,Region of Residence,Western,60572,9.46,63,104.01,1.40 (1.06-1.85),0.0172,8,13.21,0.61 (0.29-1.28),0.1923
2016-2018,Pregnancy,SPARCS,Demographics,Region of Residence,No NYS County,905,0.14,0,0,<0.001 (<0.001->999.99),0.9538,0,0,<0.001 (<0.001->999.99),0.9772
2016-2018,Pregnancy,SPARCS,Obstetric,Abnormal placentation,No,639043,99.85,537,84.03,ref,,125,19.56,ref,
2016-2018,Pregnancy,SPARCS,Obstetric,Abnormal placentation,Yes,980,0.15,0,0,<0.001 (<0.001->999.99),0.9513,0,0,<0.001 (<0.001->999.99),0.9765
2016-2018,Pregnancy,SPARCS & Birth certificate,Obstetric,Multiple Gestation,No,608139,98.22,510,83.86,ref,,117,19.24,ref,
2016-2018,Pregnancy,SPARCS & Birth certificate,Obstetric,Multiple Gestation,Yes,11002,1.78,10,90.89,1.08 (0.58-2.03),0.8009,5,45.45,2.36 (0.97-5.78),0.0598
2016-2018,Pregnancy,SPARCS & Birth certificate,Obstetric,Multiple Gestation,Unknown,1,0,0,0,0.05 (<0.001->999.99),0.9845,0,0,0.02 (<0.001->999.99),0.9940
2016-2018,Pregnancy,Birth certificate,Obstetric,Nulliparity,No,428646,69.23,360,83.99,ref,,78,18.2,ref,
2016-2018,Pregnancy,Birth certificate,Obstetric,Nulliparity,Yes,188819,30.5,160,84.74,1.01 (0.84-1.22),0.9252,44,23.3,1.28 (0.88-1.85),0.1896
2016-2018,Pregnancy,Birth certificate,Obstetric,Nulliparity,Unknown,1677,0.27,0,0,<0.001 (<0.001->999.99),0.9575,0,0,<0.001 (<0.001->999.99),0.9795
2016-2018,Pregnancy,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,1st,462321,72.24,340,73.54,ref,,78,16.87,ref,
2016-2018,Pregnancy,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,2nd,106210,16.59,125,117.69,1.60 (1.30-1.97),<.0001,28,26.36,1.56 (1.01-2.41),0.0427
2016-2018,Pregnancy,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,3rd,29882,4.67,36,120.47,1.64 (1.16-2.31),0.0048,12,40.16,2.38 (1.30-4.37),0.0052
2016-2018,Pregnancy,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,Unknown,20729,3.24,19,91.66,1.25 (0.79-1.98),0.3500,4,19.3,1.14 (0.42-3.12),0.7933
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Alcohol abuse,No,638839,99.82,668,104.56,ref,,132,20.66,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Alcohol abuse,Yes,1184,0.18,2,168.92,1.62 (0.40-6.48),0.4980,2,168.92,8.19 (2.02-33.12),0.0032
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Asthma,No,596372,93.18,592,99.27,ref,,111,18.61,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Asthma,Yes,43651,6.82,78,178.69,1.80 (1.42-2.28),<.0001,23,52.69,2.83 (1.81-4.44),<.0001
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Cardiac valvular disease,No,637840,99.66,661,103.63,ref,,132,20.69,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Cardiac valvular disease,Yes,2183,0.34,9,412.28,3.99 (2.06-7.72),<.0001,2,91.62,4.43 (1.10-17.92),0.0366
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Chronic congestive heart failure,No,639881,99.98,664,103.77,ref,,131,20.47,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Chronic congestive heart failure,Yes,142,0.02,6,4225.35,42.47 (18.68-96.54),<.0001,3,2112.68,105.4 (33.16-335.1),<.0001
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Chronic ischemic heart disease,No,639637,99.94,668,104.43,ref,,133,20.79,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Chronic ischemic heart disease,Yes,386,0.06,2,518.13,4.98 (1.24-20.03),0.0237,1,259.07,12.49 (1.74-89.54),0.0120
